 GIN  Name xx      CAN    cz     e sigma   e  dsigma
698  A2593-N H   80  12645   10   239    7      9
699  A2593-N I   80  12263   10   256    8     10
700  A2593-N J   80  12617    8   235    6     18
701  A2593-N K   80  12634    8   238    6      6
702  A2593-N L   80  11823    8   202    6     11
703  A2593-N M   80  13189    8   182    7     12
704  A2593-N 1   80  11704   11   240    8     11
705  A2593-N 2   80  13110   10   170    7     10
706  A2593-N 3  180  27822    8   229    7     29
707  A2593-N 4   80  11781   10   125    6     10
708  A2593-N 5   80  11096   11    57    9      3
709  A2593-S A   80  12713   11   330   11     39
710  A2593-S B   80  12150    8   178    7      8
711  A2593-S C   80  13066   12   293   12      8
712  A2593-S D   80  11046    9   214    8      6
713  A2593-S E   80  12554   10   143    7      7
714  A2593-S F   80  12805   10   124    8     16
715  A2593-S G   80  12880   10   107    9      8
716  A2634 A     82   9060   14   312   11     10
717  A2634 B     82   9274   12   236    8      9
718  A2634 C     82   9502   12   190    7     20
719  A2634 D     82  10774   15   231   12     15
720  A2634 E     82   9272   14   269   13      7
721  A2634 F     82  10211   13   135   10      4
722  A2634 G     82   9398   15   333   17      7
723  A2634 H     82  11694   15   271   19     24
724  A2634 I     82   9958   13   211   12      8
725  A2634 J     82   8701   17   219   16     15
726  A2634 K     82  10011   13   214   12      8
728  A2634 2     82   9406   31   296   35     99
729  A2657 A     83  12063   14   179   18     19
730  A2657 B     83  12354   18   281   20     14
731  A2657 C     83  12298   12   196   13      9
732  A2657 D     83  12542   19   221   19     99
733  A2657 E     83  10725   15   215   14      9
734  A2657 F     83  11876   15   239   15     24
735  A2657 G     83  13594   12   150   11      7
736  A2657 H     83  12249   14   219   13      3
737  A2657 1     83  11719   20   152   25     99
738  A2666 A     84   8153   17   257   19     15
739  A2666 B     84   7649   14    84   20      1
740  A2666 C     84   8511   17    93   11     99
741  A2666 D     84   9018   71   999  999     99
742  A2666 E     84   8391   19   181   14     99
750  COMA 70     90   6368   21   139   13     99
751  COMA 69     90   7065   29   206   25     99
